playerID,avg(salary)
bagweje01,8542267.933333
baylodo01,674204.750000
bellge02,1942777.777778
bluevi01,350000.000000
bondsba01,8556605.545455
brettge01,2227381.000000
burroje01,350000.000000
caminke01,2682607.142857
cansejo01,3005333.333333
carewro01,875000.000000
clemero02,5761952.380952
dawsoan01,2146277.750000
eckerde01,1810185.266667
fingero01,1065000.000000
fostege01,1600952.333333
garvest01,1225000.000000
giambja01,8603933.066667
gibsoki01,1388181.818182
gonzaju03,5802500.000000
griffke02,7112080.095238
guerrvl01,8648461.538462
henderi01,2310833.333333
hernake01,1700000.000000
hernawi01,1040000.000000
howarry01,6563750.000000
jacksre01,818710.000000
jonesch06,7503066.647059
kentje01,5073565.705882
larkiba01,4129868.421053
lynnfr01,1233333.333333
mattido01,2709545.454545
mauerjo01,3587500.000000
mcgeewi01,1562666.666667
mitchke01,1664625.000000
morneju01,5046000.000000
murphda05,1841666.666667
parkeda01,1156428.571429
pedrodu01,862333.333333
pendlte01,1282678.571429
pujolal01,8326232.000000
riceji01,1888652.600000
ripkeca01,4108823.588235
rodrial01,14463515.750000
rodriiv01,6476329.555556
rolliji01,4086666.666667
rosepe01,679429.000000
sandbry01,2265454.545455
schmimi01,2161074.750000
sosasa01,6892666.666667
suzukic01,10347942.555556
