yearID,avg(salary)
1980,55000.000000
1981,336500.000000
1982,250000.000000
1983,450000.000000
1984,650000.000000
1985,476299.447273
1986,417147.043360
1987,434729.465710
1988,453171.076923
1989,506323.081575
1990,511973.694348
1991,894961.194161
1992,1047520.576073
1993,976966.559047
1994,1049588.559955
1995,964979.074037
1996,1026923.873391
1997,1219887.862554
1998,1280844.560120
1999,1485316.848907
2000,1992984.571770
2001,2279841.061628
2002,2392526.621749
2003,2573472.948005
2004,2491776.104693
2005,2633830.803851
2006,2828623.163216
2007,2941435.851544
2008,3136517.137850
2009,3274113.014742
