teamID,COUNT(DivWin='Y'),COUNT(LgWin='Y'),COUNT(WSWin='Y')
ANA,2,2,2
ARI,4,4,4
ATL,16,16,16
BAL,8,9,9
BLN,0,3,0
BOS,7,15,14
BR3,0,1,1
BRO,0,12,10
BS1,0,4,0
BS2,0,1,0
BSN,0,10,2
BSP,0,1,0
CAL,3,3,3
CHA,5,10,9
CHF,0,1,0
CHN,5,21,17
CIN,8,12,12
CLE,7,10,10
CN2,0,1,0
COL,1,1,1
DET,4,12,12
DTN,0,1,1
FLO,2,2,2
HOU,8,8,8
IND,0,1,0
KCA,7,7,7
LAA,4,4,4
LAN,11,15,15
LS2,0,1,1
MIN,9,10,10
ML1,0,2,2
ML4,2,2,2
MON,1,1,1
NY1,0,17,16
NY4,0,1,1
NYA,16,45,45
NYN,6,6,6
OAK,14,14,14
PH1,0,1,0
PH4,0,1,0
PHA,0,9,8
PHI,10,12,12
PIT,9,16,14
PRO,0,2,1
SDN,5,5,5
SEA,3,3,3
SFN,7,8,8
SL4,0,4,4
SLA,0,1,1
SLN,10,22,22
SLU,0,1,0
TBA,1,1,1
TEX,3,3,3
TOR,5,5,5
WS1,0,3,3
