playerID,AwardID,yearID,salary,yearID,average_player_salary,"100 * salary/average_player_salary"
mattido01,MVP,1985,455000.00,1985,476299.447273,95.5281394101
mcgeewi01,MVP,1985,475000.00,1985,476299.447273,99.7271785050
clemero02,MVP,1986,340000.00,1986,417147.043360,81.5060313651
schmimi01,MVP,1986,2136666.00,1986,417147.043360,512.2093118023
bellge02,MVP,1987,1175000.00,1987,434729.465710,270.2830363895
dawsoan01,MVP,1987,700000.00,1987,434729.465710,161.0196812533
cansejo01,MVP,1988,325000.00,1988,453171.076923,71.7168452600
gibsoki01,MVP,1988,1833333.00,1988,453171.076923,404.5564894494
yountro01,MVP,1989,1150000.00,1989,506323.081575,227.1277059743
mitchke01,MVP,1989,610000.00,1989,506323.081575,120.4764353429
henderi01,MVP,1990,2350000.00,1990,511973.694348,459.0079580146
bondsba01,MVP,1990,850000.00,1990,511973.694348,166.0241550265
ripkeca01,MVP,1991,2566667.00,1991,894961.194161,286.7908705704
pendlte01,MVP,1991,1750000.00,1991,894961.194161,195.5392045396
eckerde01,MVP,1992,3150000.00,1992,1047520.576073,300.7100835966
bondsba01,MVP,1992,4800000.00,1992,1047520.576073,458.2248892900
thomafr04,MVP,1993,1115000.00,1993,976966.559047,114.1287784802
bondsba01,MVP,1993,4516666.00,1993,976966.559047,462.3153124512
thomafr04,MVP,1994,2755000.00,1994,1049588.559955,262.4838060467
bagweje01,MVP,1994,2525000.00,1994,1049588.559955,240.5704574475
vaughmo01,MVP,1995,2775000.00,1995,964979.074037,287.5710027982
larkiba01,MVP,1995,5900000.00,1995,964979.074037,611.4122221656
gonzaju03,MVP,1996,7425000.00,1996,1026923.873391,723.0331470906
caminke01,MVP,1996,3275000.00,1996,1026923.873391,318.9136103329
griffke02,MVP,1997,7885532.00,1997,1219887.862554,646.4144977629
walkela01,MVP,1997,6325000.00,1997,1219887.862554,518.4902804719
gonzaju03,MVP,1998,7800000.00,1998,1280844.560120,608.9731918187
sosasa01,MVP,1998,8325000.00,1998,1280844.560120,649.9617720372
rodriiv01,MVP,1999,8950000.00,1999,1485316.848907,602.5650356413
jonesch06,MVP,1999,4175000.00,1999,1485316.848907,281.0848071288
giambja01,MVP,2000,3103333.00,2000,1992984.571770,155.7128461483
kentje01,MVP,2000,6000000.00,2000,1992984.571770,301.0560184453
suzukic01,MVP,2001,5666667.00,2001,2279841.061628,248.5553530628
bondsba01,MVP,2001,10300000.00,2001,2279841.061628,451.7858798738
tejadmi01,MVP,2002,3625000.00,2002,2392526.621749,151.5134655994
bondsba01,MVP,2002,15000000.00,2002,2392526.621749,626.9522714457
rodrial01,MVP,2003,22000000.00,2003,2573472.948005,854.8758990086
bondsba01,MVP,2003,15500000.00,2003,2573472.948005,602.2989288470
guerrvl01,MVP,2004,11000000.00,2004,2491776.104693,441.4521826131
bondsba01,MVP,2004,18000000.00,2004,2491776.104693,722.3762988215
rodrial01,MVP,2005,26000000.00,2005,2633830.803851,987.1552858288
pujolal01,MVP,2005,11000000.00,2005,2633830.803851,417.6426209276
morneju01,MVP,2006,385000.00,2006,2828623.163216,13.6108621681
howarry01,MVP,2006,355000.00,2006,2828623.163216,12.5502755056
rodrial01,MVP,2007,22708525.00,2007,2941435.851544,772.0217657672
rolliji01,MVP,2007,8000000.00,2007,2941435.851544,271.9760145645
pedrodu01,MVP,2008,457000.00,2008,3136517.137850,14.5703013857
pujolal01,MVP,2008,13870949.00,2008,3136517.137850,442.2404976721
mauerjo01,MVP,2009,10500000.00,2009,3274113.014742,320.6975432040
pujolal01,MVP,2009,14427326.00,2009,3274113.014742,440.6483812574
cabremi01,MVP,2012,21000000.00,2012,21000000.000000,100.0000000000
